LineId,Time,Content,EventId,EventTemplate,ParameterList
3222,1665073379,Warning: ACL pattern 'cold/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'cold/#'""]"
3223,1665073379,Warning: ACL pattern 'warm/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'warm/#'""]"
3224,1665073379,Warning: ACL pattern 'hot/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'hot/#'""]"
3225,1665073379,Warning: ACL pattern 'modules/+/status' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/+/status'""]"
3226,1665073379,Warning: ACL pattern 'system/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'system/#'""]"
3227,1665073379,Warning: ACL pattern '$SYS/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'$SYS/#'""]"
3228,1665073379,Client tsmodule disconnected.,2186d001,Client <*> disconnected.,['tsmodule']
3229,1665073380,Reloading config.,a0a40a28,Reloading config.,[]
3230,1665073380,Warning: ACL pattern 'event/encryption_key/model' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'event/encryption_key/model'""]"
3231,1665073380,Warning: ACL pattern 'modules/local/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/local/#'""]"
3232,1665073380,Warning: ACL pattern 'cold/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'cold/#'""]"
3233,1665073380,Warning: ACL pattern 'warm/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'warm/#'""]"
3234,1665073380,Warning: ACL pattern 'hot/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'hot/#'""]"
3235,1665073380,Warning: ACL pattern 'modules/+/status' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/+/status'""]"
3236,1665073380,Warning: ACL pattern 'system/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'system/#'""]"
3237,1665073380,Warning: ACL pattern '$SYS/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'$SYS/#'""]"
3238,1665073380,Client tsmodule disconnected.,2186d001,Client <*> disconnected.,['tsmodule']
3239,1665073380,Reloading config.,a0a40a28,Reloading config.,[]
3240,1665073380,Warning: ACL pattern 'event/encryption_key/model' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'event/encryption_key/model'""]"
3241,1665073380,Warning: ACL pattern 'modules/local/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'modules/local/#'""]"
3242,1665073380,Warning: ACL pattern 'cold/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'cold/#'""]"
3243,1665073380,Warning: ACL pattern 'warm/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'warm/#'""]"
3244,1665073380,Warning: ACL pattern 'hot/#' does not contain '%c' or '%u'.,f7c14a2e,Warning ACL pattern <*> does not contain '%c' or '%u'.,"[""'hot/#'""]"
